No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
19519|WISEA J120203.26-001741.8|180.51354 |  -0.29512 |G| 29837| 0.099527 |SLS |20.3g|  0.000|2|0|27|3|1|4|0
19520|WISEA J120203.27+030608.2|180.51369 |   3.10235 |G| 25042| 0.083531 |SLS |18.9R|  0.000|1|0|29|2|1|4|0
19521|LCRS B115929.5-023517|180.51373 |  -2.86671 |G| 24493| 0.081700 |SUN |16.9g|  0.000|9|0|48|8|4|6|0
19522|WISEA J120203.69-073808.0|180.51539 |  -7.63557 |G| 16156| 0.053891 |SLS |16.58|  0.000|2|0|34|7|2|2|0
19523|WISEA J120203.79+010708.5|180.51579 |   1.11906 |G| 24529| 0.081820 |SLS |18.7g|  0.000|2|0|42|7|1|4|0
19524|WISEA J120203.92+003511.3|180.51691 |   0.58684 |G| 23373| 0.077963 |SLS |21.0g|  0.000|0|0|35|5|1|4|0
19525|WISEA J120204.13+043014.2|180.51722 |   4.50395 |G| 22164| 0.073932 |SLS |17.1g|  0.000|15|0|54|6|3|8|0
19526|LCRS B115930.7-030812|180.51895 |  -3.41502 |G| 20675| 0.068965 |SLS |18.0g|  0.000|16|0|58|9|4|8|0
19527|WISEA J120205.04+021323.0|180.52103 |   2.22308 |G| 14276| 0.047621 |SLS |16.4g|  0.000|20|0|70|8|6|10|0
19528|SDSS J120205.31-013909.4|180.52209 |  -1.65262 |G| 24572| 0.081965 |SLS |21.1g|  0.000|0|0|23|4|1|4|0
19529|CGCG 013-042|180.52257 |   1.52591 |G|  5899| 0.019678 |SLS |15.6g|  0.000|44|0|86|18|15|10|0
19530|WISEA J120205.50+082308.7|180.52295 |   8.38576 |G| 23866| 0.079610 |SLS |17.3g|  0.000|16|0|61|5|3|10|0
19531|WISEA J120205.57+093529.1|180.52321 |   9.59142 |G| 20845| 0.069532 |SLS |18.0g|  0.000|14|0|59|5|2|8|0
19532|WISEA J120205.62+003941.0|180.52344 |   0.66141 |G| 23490| 0.078355 |SLS |17.3g|  0.000|26|0|76|13|10|10|0
19533|LCRS B115931.8-033503|180.52345 |  -3.86260 |G| 25752| 0.085900 |SUN |17.00|  0.000|3|0|39|9|2|2|1
19534|WISEA J120205.68+033625.5|180.52370 |   3.60710 |G| 29659| 0.098932 |SLS |17.3g|  0.000|20|0|64|6|7|10|0
19535|SDSS J120205.69+013501.2|180.52375 |   1.58369 |G|  5996| 0.020000 |PSE |19.7g|  0.000|3|0|16|2|1|4|0
19536|2MASS J12020571-0234529|180.52381 |  -2.58136 |G| 27024| 0.090143 |SLS |16.8g|  0.000|21|0|49|9|5|8|0
19537|LCRS B115932.0-062455|180.52404 |  -6.69376 |G| 24710| 0.082424 |SUN |16.40|  0.000|2|0|33|7|2|2|0
19538|WISEA J120205.76+010901.9|180.52405 |   1.15037 |G| 25217| 0.084115 |SLS |19.8g|  0.000|2|0|32|5|1|4|0
19539|WISEA J120205.97+031555.9|180.52490 |   3.26555 |G| 25324| 0.084472 |SLS |18.6g|  0.000|1|0|27|3|1|4|0
19540|WISEA J120206.05+033552.7|180.52524 |   3.59798 |G| 29875| 0.099652 |SLS |17.9R|  0.000|1|0|19|3|1|0|0
19541|WISEA J120206.36+003428.5|180.52653 |   0.57461 |G| 19364| 0.064591 |SLS |17.4g|  0.000|15|0|53|9|7|8|0
19542|WISEA J120206.37+002640.9|180.52670 |   0.44475 |G| 19463| 0.064922 |SLS |20.32|  0.000|3|0|36|6|1|4|0
19543|WISEA J120206.85+010348.2|180.52812 |   1.06324 |G|  5618| 0.018740 |SLS |20.0g|  0.000|2|0|27|3|1|4|0
19544|WISEA J120206.81+062430.6|180.52841 |   6.40850 |G| 13068| 0.043590 |SLS |18.0g|  0.000|7|0|47|4|3|8|0
19545|2MASX J12020786+0228182|180.53266 |   2.47164 |G| 23082| 0.076993 |SLS |16.8g|  0.000|22|0|58|7|7|10|0
19546|WISEA J120207.83+002618.4|180.53287 |   0.43842 |G| 24383| 0.081332 |SLS |20.0g|  0.000|2|0|35|5|1|4|0
19547|WISEA J120208.16+000212.7|180.53401 |   0.03687 |G| 28131| 0.093835 |SLS |17.5g|  0.000|25|0|64|15|10|8|0
19548|SDSS J120208.40-005224.5|180.53500 |  -0.87348 |G| 27858| 0.092924 |SLS |23.4g|  0.000|0|0|15|2|1|4|0
19549|WISEA J120208.45-001412.7|180.53523 |  -0.23687 |G| 27739| 0.092526 |SLS |18.1g|  0.000|19|0|47|12|7|4|0
19550|LCRS B115934.7-024705|180.53532 |  -3.06336 |G| 25201| 0.084060 |SLS |17.1g|  0.000|19|0|68|9|5|10|0
19551|WISEA J120208.49-000854.6|180.53575 |  -0.14839 |G| 27975| 0.093315 |SLS |20.0g|  0.000|2|0|35|5|1|4|0
19552|WISEA J120208.74-033105.7|180.53646 |  -3.51787 |G| 14030| 0.046800 |SUN |19.37|  0.000|1|0|36|6|1|4|0
19553|GALEXASC J120208.82-002248.7  |180.53681 |  -0.38023 |G| 29776| 0.099321 |SLS |20.11|  0.000|0|0|5|3|1|0|0
19554|LCRS B115935.2-024456|180.53721 |  -3.02697 |G| 15737| 0.052493 |SLS |17.4g|  0.000|19|0|59|9|6|10|0
19555|WISEA J120208.97+003835.0|180.53735 |   0.64300 |G| 23595| 0.078704 |SLS |19.7g|  0.000|2|0|28|4|1|4|0
